,API,Arg,Descp,Normalized_descp,dtype,tensor_t,structure,shape,ndim,range,enum
601,mxnet.ndarray.op.ftrl_update,wd,Weight decay augments the objective function with a regularization term that penalizes large weights. The penalty scales with the square of the magnitude of each weight.,PARAM decay augments the objective function with a regularization term that penalizes large weights,,,,,,,
602,mxnet.ndarray.op.ftrl_update,wd,Weight decay augments the objective function with a regularization term that penalizes large weights. The penalty scales with the square of the magnitude of each weight.,The penalty scales with the square of the magnitude of each PARAM,,,,,,,
603,mxnet.contrib.ndarray.DeformableConvolution,weight,Weight matrix.,weight matrix,numeric,,,,,,
604,mxnet.contrib.ndarray.quantized_conv,weight,weight.,weight,numeric,,,,,,
605,mxnet.contrib.ndarray.quantized_fully_connected,weight,weight.,weight,numeric,,,,,,
606,mxnet.ndarray.Embedding,weight,The embedding weight matrix.,The embedding weight matrix,numeric,,,,,,
607,mxnet.ndarray.op.Convolution,weight,Weight matrix.,weight matrix,numeric,,,,,,
608,mxnet.ndarray.op.ftml_update,weight,Weight,weight,numeric,,,,,,
609,mxnet.ndarray.op.mp_sgd_mom_update,weight,Weight,weight,numeric,,,,,,
610,mxnet.ndarray.op.sgd_mom_update,weight,Weight,weight,numeric,,,,,,
611,mxnet.ndarray.op.signum_update,weight,Weight,weight,numeric,,,,,,
612,mxnet.ndarray.rmsprop_update,weight,Weight,weight,numeric,,,,,,
613,mxnet.gluon.nn.Conv3DTranspose,weight_initializer,Initializer for the weight weights matrix.,Initializer for the weight weights matrix,,,,,,,
614,mxnet.ndarray.mp_lamb_update_phase1,weight32,Weight32,weight32,numeric,,,,,,
615,mxnet.ndarray.mp_nag_mom_update,weight32,Weight32,weight32,numeric,,,,,,
616,mxnet.ndarray.mp_sgd_update,weight32,Weight32,weight32,numeric,,,,,,
